"","stimuli","category","condition","sound","corpes_norm_spain","outlier","element","mean","median","n.char","Number","S1","S2","S3","S4","S5","S6"
"52","fideos","food","fricative","f",7.61,"FALSE","word",6.45605263157895,4.855,6,1,"Los","fideos","son","mi","comida","favorita"
"53","filete","food","fricative","f",2.8,"FALSE","word",6.45605263157895,4.855,6,1,"El","filete","estaba","jugoso","y","tierno"
"54","filete","food","fricative","f",2.8,"FALSE","word",6.45605263157895,4.855,6,3,"El","filete","estaba","acompañado","de","papas"
"55","filete","food","fricative","f",2.8,"FALSE","word",6.45605263157895,4.855,6,2,"El","filete","es","de","ternera","argentina"
"56","filete","food","fricative","f",2.8,"FALSE","word",6.45605263157895,4.855,6,4,"El","filete","está","marinado","en","vino"
"57","filtro","objects","fricative","f",7.88,"FALSE","word",7.26432432432432,6.89,6,3,"El","filtro","de","Instagram","hace","milagros"
"58","filtro","objects","fricative","f",7.88,"FALSE","word",7.26432432432432,6.89,6,4,"El","filtro","solar","te","protege","mucho"
"59","filtro","objects","fricative","f",7.88,"FALSE","word",7.26432432432432,6.89,6,1,"El","filtro","del","cigarrillo","está","quemado"
"60","filtro","objects","fricative","f",7.88,"FALSE","word",7.26432432432432,6.89,6,2,"El","filtro","de","aceite","está","sucio"
"61","fondúe","food","fricative","f",0.26,"FALSE","word",6.45605263157895,4.855,6,3,"El","fondúe","de","carne","es","popular"
"62","fondúe","food","fricative","f",0.26,"FALSE","word",6.45605263157895,4.855,6,4,"La","fondúe","de","frutas","es","exquisita"
"63","fondúe","food","fricative","f",0.26,"FALSE","word",6.45605263157895,4.855,6,1,"El","fondúe","de","queso","está","delicioso"
"64","fondúe","food","fricative","f",0.26,"FALSE","word",6.45605263157895,4.855,6,2,"El","fondúe","de","chocolate","es","irresistible"
"65","funda","objects","fricative","f",7.64,"FALSE","word",7.26432432432432,6.89,5,3,"La","funda","del","sofá","es","lavable"
"66","funda","objects","fricative","f",7.64,"FALSE","word",7.26432432432432,6.89,5,1,"La","funda","del","cojín","está","rota"
"67","funda","objects","fricative","f",7.64,"FALSE","word",7.26432432432432,6.89,5,4,"La","funda","del","colchón","se","desgastó"
"68","funda","objects","fricative","f",7.64,"FALSE","word",7.26432432432432,6.89,5,2,"La","funda","del","libro","está","rota"
"69","fúsil","objects","fricative","f",4.13,"FALSE","word",7.26432432432432,6.89,5,3,"El","fúsil","del","soldado","era","moderno"
"70","fúsil","objects","fricative","f",4.13,"FALSE","word",7.26432432432432,6.89,5,4,"El","fúsil","del","cazador","estaba","cargado"
"71","fúsil","objects","fricative","f",4.13,"FALSE","word",7.26432432432432,6.89,5,1,"El","fúsil","disparó","con","gran","estruendo"
"72","fúsil","objects","fricative","f",4.13,"FALSE","word",7.26432432432432,6.89,5,2,"Es","fúsil","estaba","oxidado","y","viejo"
"73","mango","food","nasal","m",5.55,"FALSE","word",6.45605263157895,4.855,5,3,"El","mango","tiene","un","aroma","estupendo"
"74","mango","food","nasal","m",5.55,"FALSE","word",6.45605263157895,4.855,5,4,"El","mango","es","una","fruta","cara"
"75","mango","food","nasal","m",5.55,"FALSE","word",6.45605263157895,4.855,5,1,"El","mango","maduro","es","más","dulce"
"76","mango","food","nasal","m",5.55,"FALSE","word",6.45605263157895,4.855,5,2,"El","mango","es","una","fruta","nutritiva"
"77","manguera","objects","nasal","m",2.26,"FALSE","word",7.26432432432432,6.89,8,1,"La","manguera","conecta","con","el","grifo"
"78","manguera","objects","nasal","m",2.26,"FALSE","word",7.26432432432432,6.89,8,3,"La","manguera","se","cortó","por","accidente"
"79","manguera","objects","nasal","m",2.26,"FALSE","word",7.26432432432432,6.89,8,2,"La","manguera","se","enrolla","con","dificultad"
"80","manguera","objects","nasal","m",2.26,"FALSE","word",7.26432432432432,6.89,8,4,"La","manguera","necesita","un","conector","nuevo"
"81","mantequilla","food","nasal","m",15.52,"FALSE","word",6.45605263157895,4.855,11,2,"La","mantequilla","de","maní","es","deliciosa"
"82","mantequilla","food","nasal","m",15.52,"FALSE","word",6.45605263157895,4.855,11,4,"La","mantequilla","es","buena","para","cocinar"
"83","mantequilla","food","nasal","m",15.52,"FALSE","word",6.45605263157895,4.855,11,1,"La","mantequilla","da","sabor","al","plato"
"84","mantequilla","food","nasal","m",15.52,"FALSE","word",6.45605263157895,4.855,11,3,"La","mantequilla","de","ajo","es","olorosa"
"85","manzana","food","nasal","m",15.76,"FALSE","word",6.45605263157895,4.855,7,4,"La","manzana","caramelizada","es","muy","sabrosa"
"86","manzana","food","nasal","m",15.76,"FALSE","word",6.45605263157895,4.855,7,3,"La","manzana","fresca","es","muy","jugosa"
"87","manzana","food","nasal","m",15.76,"FALSE","word",6.45605263157895,4.855,7,2,"La","manzana","verde","está","muy","ácida"
"88","manzana","food","nasal","m",15.76,"FALSE","word",6.45605263157895,4.855,7,1,"La","manzana","cayó","del","árbol","madura"
"89","martillo","objects","nasal","m",4.3,"FALSE","word",7.26432432432432,6.89,8,4,"El","martillo","hizo","un","sonido","metálico"
"90","martillo","objects","nasal","m",4.3,"FALSE","word",7.26432432432432,6.89,8,3,"El","martillo","neumático","hace","mucho","ruido"
"91","martillo","objects","nasal","m",4.3,"FALSE","word",7.26432432432432,6.89,8,2,"El","martillo","me","golpeó","el","dedo"
"92","martillo","objects","nasal","m",4.3,"FALSE","word",7.26432432432432,6.89,8,1,"El","martillo","está","sobre","la","mesa"
"93","máscara","objects","nasal","m",10.09,"FALSE","word",7.26432432432432,6.89,7,4,"La","máscara","de","Halloween","es","tenebrosa"
"94","máscara","objects","nasal","m",10.09,"FALSE","word",7.26432432432432,6.89,7,2,"La","máscara","de","gas","es","incómoda"
"95","máscara","objects","nasal","m",10.09,"FALSE","word",7.26432432432432,6.89,7,3,"La","máscara","de","seda","es","elegante"
"96","máscara","objects","nasal","m",10.09,"FALSE","word",7.26432432432432,6.89,7,1,"La","máscara","del","carnaval","era","colorida"
"97","mazapán","food","nasal","m",0.66,"FALSE","word",6.45605263157895,4.855,7,4,"El","mazapán","es","suave","y","dulce"
"98","mazapán","food","nasal","m",0.66,"FALSE","word",6.45605263157895,4.855,7,3,"El","mazapán","casero","te","quedó","delicioso"
"99","mazapán","food","nasal","m",0.66,"FALSE","word",6.45605263157895,4.855,7,2,"El","mazapán","es","un","dulce","popular"
"100","mazapán","food","nasal","m",0.66,"FALSE","word",6.45605263157895,4.855,7,1,"El","mazapán","es","típico","en","Navidad"
"101","melón","food","nasal","m",3.09,"FALSE","word",6.45605263157895,4.855,5,4,"El","melón","es","rico","en","vitaminas"
"102","melón","food","nasal","m",3.09,"FALSE","word",6.45605263157895,4.855,5,3,"El","melón","es","mi","fruta","favorita"
"103","melón","food","nasal","m",3.09,"FALSE","word",6.45605263157895,4.855,5,2,"El","melón","verde","está","todavía","inmaduro"
"104","melón","food","nasal","m",3.09,"FALSE","word",6.45605263157895,4.855,5,1,"El","melón","es","una","fruta","refrescante"
"105","monitor","objects","nasal","m",6.89,"FALSE","word",7.26432432432432,6.89,7,2,"El","monitor","muestra","imágenes","muy","borrosas"
"106","monitor","objects","nasal","m",6.89,"FALSE","word",7.26432432432432,6.89,7,4,"El","monitor","tiene","una","pantalla","grande"
"107","monitor","objects","nasal","m",6.89,"FALSE","word",7.26432432432432,6.89,7,1,"El","monitor","del","ordenador","está","apagado"
"108","monitor","objects","nasal","m",6.89,"FALSE","word",7.26432432432432,6.89,7,3,"El","monitor","viejo","se","ha","estropeado"
"109","muñeco","objects","nasal","m",5.74,"FALSE","word",7.26432432432432,6.89,6,3,"El","muñeco","de","paja","se","quemó"
"110","muñeco","objects","nasal","m",5.74,"FALSE","word",7.26432432432432,6.89,6,2,"El","muñeco","de","trapo","estaba","roto"
"111","muñeco","objects","nasal","m",5.74,"FALSE","word",7.26432432432432,6.89,6,4,"El","muñeco","de","porcelana","es","frágil"
"112","muñeco","objects","nasal","m",5.74,"FALSE","word",7.26432432432432,6.89,6,1,"El","muñeco","de","nieve","se","derritió"
"113","nachos","food","nasal","n",0.4,"FALSE","word",6.45605263157895,4.855,6,4,"Los","nachos","picantes","son","muy","populares"
"114","nachos","food","nasal","n",0.4,"FALSE","word",6.45605263157895,4.855,6,3,"lLos","nachos","con","queso","son","irresistibles"
"115","nachos","food","nasal","n",0.4,"FALSE","word",6.45605263157895,4.855,6,2,"Los","nachos","son","un","excelente","aperitivo"
"116","nachos","food","nasal","n",0.4,"FALSE","word",6.45605263157895,4.855,6,1,"Los","nachos","con","guacamole","son","deliciosos"
"117","naipes","objects","nasal","n",2.13,"FALSE","word",7.26432432432432,6.89,6,3,"Los","naipes","españoles","tienen","diseños","hermosos"
"118","naipes","objects","nasal","n",2.13,"FALSE","word",7.26432432432432,6.89,6,4,"Sus","naipes","estaban","ya","muy","gastados"
"119","naipes","objects","nasal","n",2.13,"FALSE","word",7.26432432432432,6.89,6,1,"Los","naipes","tienen","un","diseñó","particular"
"120","naipes","objects","nasal","n",2.13,"FALSE","word",7.26432432432432,6.89,6,2,"Jugar","naipes","es","mi","pasatiempo","favorito"
"121","naranja","food","nasal","n",23.56,"FALSE","word",6.45605263157895,4.855,7,3,"La","naranja","tiene","un","perfume","agradable"
"122","naranja","food","nasal","n",23.56,"FALSE","word",6.45605263157895,4.855,7,4,"La","naranja","en","mermelada","es","deliciosa"
"123","naranja","food","nasal","n",23.56,"FALSE","word",6.45605263157895,4.855,7,1,"La","naranja","es","una","fruta","cítrica"
"124","naranja","food","nasal","n",23.56,"FALSE","word",6.45605263157895,4.855,7,2,"La","naranja","tiene","mucha","vitamina","C"
"125","nata","food","nasal","n",11.56,"FALSE","word",6.45605263157895,4.855,4,4,"La","nata","líquida","me","gusta","mucho"
"126","nata","food","nasal","n",11.56,"FALSE","word",6.45605263157895,4.855,4,3,"La","nata","montada","es","un","clásico"
"127","nata","food","nasal","n",11.56,"FALSE","word",6.45605263157895,4.855,4,2,"La","nata","es","ingrediente","de","repostería"
